Reviewer Name,Review Date,Review Content
Maria MN,2022-06-08,"LAZADA MALAYSIA AND POSLAJU ARE SCAMMERS! MY ITEM WAS STUCKED FOR 2 WEEKS AND SUDDENLY THE STATUS STATED DELIVERED BY POSLAJU, RECEIVED BY MY NAME. I DID NOT RECEIVED THE ITEM, I WAS NOT AT HOME, I WAS AT WORK. THERE IS NO PROOF OF DELIVERY!!!! I REPORTED THIS TO LAZADA. AFTER COUNTLESS OF USELESS CHATS AND EMAILS, LAZADA EMAILED ME STATING THAT THE ITEM HAS BEEN DELIVERED AND THERE IS NOTHING THEY WILL DO. EVEN THOUGH THEY COULDN'T PROVIDE A SINGLE PROOF OF DELIVERY! KARMA WILL CATCH UP WITH PEOPLE INVOLVED!"
Rohit Bammi,2022-05-27,"I wish there was a way to give a zero star or a negative star. An iPhone ordered on 11th May, for which delivery was promised between 16-18 May is not delivered on 27th May, and is stuck in the logistics centre waiting for a delivery courier to pick it up. I have spent a total of 4-5 hours on phone calls, wrote 9 emails, including personal ones to the CEO of Lazada Malaysia and the head of customer service, and there is no credible response. Cannot even cancel and get a refund, as they insist you have to wait 15 days from the time it was handed over to the last courier (one week after order) before you can even cancel.Completely useless marketplace with no accountability or ownership of any issues. Seeking legal recourse and lodging compliant with KPDNHEP.The government needs to fine Lazada, and if they don't mend their ways, arrange to shut them down."
Nadia Nasa,2022-05-26,"Worst e-commerce platform ever. Order 332181202634196. Very hard to get through their customer service,  their CLEO (bot) is USELESS. I have written and called but to no avail. My item has been delayed since 9th of May until today 26th of May without any explanation as to why there was a delay. Time of expected delivery was 17th of May, mind you that was 9 days ago! Their courier service is also the absolute worst! Failed attempt twice and no update till now. I am really disappointed with Lazada and will never use them again after this. Never."
Xaive,2022-05-20,"If you checked either the Google store or App Store, you can see that instalment payment is listed as one of the payment option. When you went to pay anything below RM500, you can see the instalment option is greyed out since you need to buying RM500 & above in order to unlock instalment; however when you keep adding until RM500 & above, instalment payment is gone MAGICALLY, poof, or more like poop! This is a fraud by false representation! Anyone can go and try this out, just try to buy something that below and above RM500 to check this out, but don't CHECK OUT! Can't hold myself for this double entendre. Hahaha"
Paulus Mambrasar,2022-05-18,I ordered on Lazada a camera! Lazada gave out my private details! A seller contacted me via WhatsApp and told me credit card payment is not possible! I should transfer the money! I was aware! Second time I choosed another seller and virtual billing! Fake contact via WhatsApp! They ask for shipment via code improvement! Next day I checked money was gone and the oder as well! I contacted Lazada! They informed me it's my fault! I asked for investigation! No investigation no refund! I them to take the products out! All the same; same camera cheap offer; no shipment cost!I warned them and they did not do anything to protect the next customer! I ask the to do fake order to see! Bit no reaction! I feel sorry for all the next customer getting raped by this method! After warning over and over in the customer service! Lazada kicked me out of the system!
Tse Vrah,2022-05-11,"recently request a refund because of false product. seller claim product is good & legit. base on what I have tested, it totally a false product. in our conversation chat, the seller totally admit that the product is use for mixing with another product, not by it self, so they totally sell something else, but not as advertise, but still claim that it tis the right product. after sending proof to lazada and issue a refund to seller, seller reject the refund, dispute, but lazada customer services reject the refund because they trust the seller vague proof. the evidence that the seller sent to customer services, is almost similar to what I sent to lazada customer services for evidence.  in what I saw, the proof provided by the seller to customer services is not clear. even when I dispute, the ability to upload image for evidence are so limited, only 3 image can be uploaded and you cannot upload a video at all. when seller sent their reason, I can see that they can sent up to 6 images. ( all this are in the communication history with lazada customer services, seller and buyer- BUT only accessible by the buyer after lazada REJECT the dispute not before). Lazada customer services sent me an email about the rejection. they also mention that, I can modify and resubmit the return request, but the is no such thing to click on, nothing. nothing I can do to modify and resubmit my refund request. I reply and email lazada customer services 2 times up until now, asking help to resubmit the return request...it been 2 day, no answer, nothing I can click on, even in lazada mobile apps. so the ""modify and resubmit the return request to seller by so and so day information"" is just a gimmick..because I cant do nothing.  in my experience, every online store associated with southeast Asian, most of the time they will side with the seller, especially bigger seller. most of seller positive review are trash, sometimes fake  and not informative at all. lazada seller review , the info are so stupid, broken and not trustable. even sometimes, when you click on the 1 star review or negative review, the review cannot be seen at all."
Muhammad Baqir,2022-05-09,liars bully bad service.. ignorance.. liar..
stephen holt,2022-04-29,"Buy cheap, Buy Twice I’m sure Lazada use an old tortoise to deliver items. Some orders due within a few days I waited 3 weeks for and still don’t have the items.Customer service, cancellations and returns are near impossible or non existent.Lazada is a big brown toilet poo poo show and should be avoided."
SUET NEE HOO,2022-04-06,"I'm totally dissatisfied with Lazada services and the delivery is crazy slow which make me very frustrated as they keep changing the delivery date. The worst thing is their robotic customer services which never help anything and keep ask customer to wait for the parcel to delivery. I have been waiting whole day for the parcel to be delivered to me today. Unfortunately i didn't get phone call or message from Lex My courier company for the parcel. End up, when i check against the status in Lazada, it stated ""RECIPIENT RESCHEDULE"". Hello, recipient never reschedule, LEX MY is the one reschedule and without any proper explanation or reason. So, please think twice if want to purchase from Lazada. This is my 1st time using Lazada due to a voucher and it will be my LAST time too."
Matthew Wong,2022-04-03,"Keep dragging and delaying the case. Requested for a manager callback to settle the issue.But asked a supervisor lied as a manager to call which can't make decisions and solve issue.Worse is calling from a breaking line, with dogs barking from background and talk with a frustration tone. Refused to pass to an actual manager or his superior after numerous calls,  chats and emails. Now ignoring all the communication. Is ABSURD.I wonder how LAZADA employed employees. The agents are blur and untrained. Keep repeating and requesting stuff like a robot.2 month going to be 3 months can't solved an issue of RM200?Absurd and Ridiculous. The CEO and the whole Lazada Group should know how unprofessional, untrained, sloppy and ridiculous their employees are.This Fra*co supervisor and pretend to be manager with the whole CS Team that try to covers up with his instruction ""maybe"" is really a scar and flaw in Lazada that is bringing the company's image and brand down to the drain.Contact Teh via phone call direct. Upper management, not your unprofessional, untrained, pretend to be manager.Case/Ticket ID: 2500000069045152 2500000070934694Verify Lazada acct info. via the below with the Case ID if your ridiculous team can get it.Email: teh********@yahoo.comI'm serious stepping up my viral of this. Is on a few websites now."
sahidul islam,2022-03-18,The worst-ever part is lazada customer service. No matter how you explained the matter they will reply Again and Again same things that is irrelevant to the question. Its like they are brainless! There brains are washed the way however whatever you asked you will get usual replies
SHAUN TZE TAY,2022-03-17,"Worse delivery servise ever had to deal with 2 very rude delivery drivers from both me and my.brotherMy experience - was expecting a delivery from a driver called Farhan Izzat (i dont mind exposing his name for the way he treated me . whoever gets him as your delivery driver god bless you) was so unresponsive . will not answer calls or whatsapp till i spam him and his only answer was please stop spamming me and blocked my number . IF YOU HAD RESPONDED TO MY CALL IN THE FIST PLACE I WOULDNT NEED TO SPAM YOU !mY BROTHER - HE CONTRACTED COVID AND HAS ASKED ME TO CONTACT THE DRIVER TO DELIVER THE NEXT DAY HE DIDNT RESPOND IF HE UNDERSTOOD OR NOT then he said my brother "" rejected the parcel and canceled my brothers order ""my brother and I work in sales and if we behaved the way they did . we would be fired the next day . RUDE DELIVERY DRIVERS AND DO NOT RESPOND TO THEIR CUSTOMERS MSG OR CALLS ."
Zippo Steel,2022-03-14,lazada and lex express service is very bad …. the item arrived at the distribution center on 2/3/22 but until 15/3/22 I still haven’t received the item … while I live within a radius of only 12km from the distribution center … ..lazada customer service doesn’t help at all … very bad experience … better to buy at shopee than lazada … not recommended to buy at lazada
Syafiq Samsudin,2022-03-13,Nobody cares about anything in the company. All call just for robots to give you standard answers. Incompetent at best
Valued Customer,2022-03-09,"Parcel delivery handled by LEX (Lazada ELogistics) initially. After 2 days of my order, it arrived distribution centre near me but still not deliver after sitting at distribution centre for 6 days. It was outsourced to Ninja Van thereafter. It took another few days to deliver. 1) My main complaint targeted to LEX. If you can't handle, please outsouce earlier!2) For late delivery, Lazada should offer both rebate and refund options. What's the point of just offering refund option as customer have to wait for delivery if to re-order from your competitor!"
Madeline Tan,2022-03-08,I asked for cancellation because the delivery was taking too long. Lazada said they will cancel but the next day they attempted to deliver. I refused the package but it is marked as delivered! Please refund me my money. This is daylight robbery!
Imran Muhammad,2022-03-01,Before service was ok now just we make order then saller don’t have stock after 10 days Saler said for refund we try to refund and lazada policy in 15 days we will refund what about 25 days wasting who care about time lazada maybe thinking and this is lazada behaviour now totally left from lazada
Zhe Yan Lau,2022-02-26,"Worst customer service ever. 1. Rude by addressing my full name, with copy paste.2. Keep argue its my error3. Ask me to restart wifi for payment issue when i am literally chatting with the person.4. Have zero knowledge on what may have caused issue.Never getting so angry over a customer service chat. Well done lazada"
Khalid Idris,2022-02-15,"I used this website a lot back when I was in Malaysia, there are a lot of issues with their services, for example they absolutely cannot contact their delivery drivers while they take their sweet time coming over to your place, sometimes you need to get in contact with them for a specific purpose but it's just not possible, I think some of their items offered are decent but the customer service could be a LOT better."
Jimmy Bross,2022-01-27,"All the useless customer services do is copy-pasting the FAQs from the website which we read and couldn't solve the problem, that's what they are for right?P.S. created a trustpilot account just to write this review so that everyone is aware."
WWWen,2021-12-16,"The poorest shopping platform ever, will uninstall Lazada once I have the problem resolved. The courier service just left the parcel at another house with same house number without calling to confirm the correct address and signed on behalf and deemed the delivery was completed all by himself! It is so hard to look for the Lazada customer service. The only fastest way is to post in facebook page and let them revert to you when they happen to see bad reviews. Otherwise, you cannot reach them through private message, email or contact number."
Vniverz Eric,2021-12-14,"I am a heavy Lazada user. I am from the USA, but live in Thailand. The availability of many quality products is severely limited in the land of Smiles. Therefore, online shopping is an essential part of everyone's consumer activity. In the past Lazada was, albeit marginally, so-so. But after it was purchased by Ali Baba the quality has plummeted. No Domestic searching anymore (which forces disreputable Chinese merchants on everyone), absolutely NO customer service, the ability for merchants to decline honest refund requests (such as damaged, or wrong goods) and a litany of other problems. After 4 years and tens of thousands of dollars of spending on this site I have decided to close my account and go to other sites such as Shoppee. I think my action is illustrative of the general malaise most customers now feel towards Lazada."
